id	name	class	increase	decrease	core_to_inter	core_to_rare	core_to_absent	inter_to_core	inter_to_rare	inter_to_absent	rare_to_core	rare_to_inter	rare_to_absent	absent_to_rare	absent_to_inter	absent_to_core
51	51	Multi-cluster rare	2.18	91.5900000000003	0	0	0	1	209	0	0	1	979	54	0	0
52	52	Multi-cluster rare	1.47	27.45	1	0	0	0	61	0	0	1	480	37	0	0
53	53	Multi-cluster rare	17.46	6.65999999999997	0	0	0	2	10	0	0	14	136	396	0	0
54	54	Multi-cluster rare	10.76	12.9699999999999	0	0	0	2	15	0	0	16	466	125	0	0
55	55	Multi-cluster rare	43.7400000000003	3.06	2	0	0	1	4	0	0	33	15	707	2	0
56	56	Multi-cluster rare	18.82	4	0	0	0	4	3	0	0	26	99	184	0	0
57	57	Multi-cluster rare	515.049999999994	14.87	2	0	0	67	13	9	269	168	102	1561	4	86
58	58	Multi-cluster rare	11.88	12.82	0	0	0	7	9	0	1	9	353	49	0	0
59	59	Multi-cluster rare	47.7500000000001	0.22	0	0	0	1	0	0	0	93	2	854	0	0
60	60	Multi-cluster rare	290.750000000001	22.9500000000001	8	0	0	54	22	9	60	443	476	1750	2	8
61	61	Multi-cluster rare	2.33	7.21999999999998	1	0	0	2	9	0	0	3	113	37	0	0
62	62	Multi-cluster rare	3.47	7.72	2	0	0	2	11	0	0	3	73	65	0	0
63	63	Multi-cluster rare	2.84	8.10999999999999	3	0	0	1	7	0	0	2	92	77	0	0
64	64	Multi-cluster rare	11.1399999999999	19.04	8	0	0	0	20	0	0	1	51	459	0	1
65	65	Multi-cluster rare	29.4400000000001	1.97	1	0	0	4	3	0	0	36	11	371	0	0
66	66	Multi-cluster rare	185.690000000001	3.41	2	0	0	18	5	0	19	183	44	968	0	0
67	67	Multi-cluster rare	35.6800000000004	1.03	1	0	0	1	1	0	0	20	6	1186	2	0
68	68	Multi-cluster rare	14.4999999999999	5.05999999999999	0	0	0	0	6	0	0	10	20	437	0	0
69	69	Multi-cluster rare	66.1500000000003	9.27999999999998	0	0	0	2	18	0	1	93	95	343	3	0
70	70	Multi-cluster rare	86.7200000000002	103.99	0	0	0	15	109	43	5	90	823	141	0	0
71	71	Multi-cluster rare	94.3900000000003	27.6000000000001	1	0	0	80	36	54	23	6	102	573	0	0
72	72	Multi-cluster rare	275.479999999999	1.25	0	0	0	1	2	0	4	577	2	885	0	0
73	73	Multi-cluster rare	459.250000000023	38.26	0	0	0	61	4	37	113	725	624	1512	0	0
74	74	Multi-cluster rare	86.9600000000001	17.4199999999999	0	0	0	0	35	0	0	178	262	529	0	0
75	75	Multi-cluster rare	125.25	118.050000000001	0	0	0	41	71	159	21	221	1483	257	0	0
76	76	Multi-cluster rare	150.55	19.29	0	0	0	0	29	0	5	176	412	799	0	0
77	77	Multi-cluster rare	32.0899999999999	69.1399999999995	0	0	0	8	125	0	0	58	750	242	0	0
78	78	Multi-cluster rare	8.34999999999999	18.74	0	0	0	0	44	0	0	13	181	53	0	0
79	79	Multi-cluster rare	41.61	82.6299999999996	0	0	0	0	169	2	0	65	881	279	0	0
80	80	Multi-cluster rare	11.53	42.0699999999999	0	0	0	1	88	0	0	27	741	57	0	0
81	81	Multi-cluster rare	47.2700000000001	8.99999999999996	0	0	0	20	5	1	1	142	236	93	0	0
82	82	Multi-cluster rare	42.4100000000001	4.59999999999999	2	0	0	0	6	0	0	114	37	287	32	0
83	83	Multi-cluster rare	49.75	34.4300000000002	5	0	0	8	104	0	2	69	255	593	0	0
84	84	Multi-cluster rare	34.1000000000001	1.75	0	0	0	4	0	0	1	68	50	165	1	0
85	85	Multi-cluster rare	18.01	8.77	2	0	0	3	10	0	0	13	68	295	6	0
86	86	Multi-cluster rare	26.0700000000003	10.7	7	0	0	0	19	0	0	7	63	484	1	0
87	87	Multi-cluster rare	164.21	11.06	5	0	0	4	57	0	0	101	37	2082	39	0
88	88	Multi-cluster rare	508.549999999985	1.25	1	0	0	4	1	0	0	190	9	2480	285	0
89	89	Multi-cluster rare	104.9	12.81	0	0	0	6	7	0	1	138	265	464	0	0
90	90	Multi-cluster rare	370.390000000001	15.3999999999999	0	0	0	79	8	0	208	130	275	1658	0	0
91	91	Multi-cluster rare	24.8400000000001	34.8500000000003	0	0	0	0	80	0	1	65	602	231	0	0
92	92	Multi-cluster rare	56.2100000000001	15.6	0	0	0	0	42	0	0	140	114	245	0	0
93	93	Multi-cluster rare	166.5	117.350000000001	0	0	0	46	68	137	39	252	1193	236	0	0
1	22	Core, intermediate and rare	399.710000000001	259.26	0	0	16	698	0	488	118	0	336	0	0	0
2	39	Core, intermediate and rare	293.74	368.289999999998	0	0	45	566	0	620	64	0	390	0	0	0
3	14	Core, intermediate and rare	187.38	320.069999999999	0	0	5	353	0	578	56	0	152	0	0	0
