gene	gains	losses
group_9390	5	1
group_9391*	5	1
group_4144	5	1
group_6538**	5	1
group_3279	5	1
group_9395	5	1
group_4965*	5	1
group_4139	5	1
group_4138	5	1
group_4970*	5	1
group_9402	5	1
group_3288	5	1
group_9404	5	1
dam_1	5	1
group_3291	5	1
group_6552**	5	1
group_3293**	5	1
group_3294*	5	1
group_3295	5	1
group_3296	5	1
group_4983	5	1
group_9415	5	1
group_4985	5	1
group_9417	5	1
group_3303	5	1
group_3304	5	1
group_9420*	5	1
group_4297	5	1
group_6566*	5	1
group_3308*	5	1
group_13215	5	1
group_6569	5	1
higB-1	5	1
group_4291*	5	1
group_4997	5	1
group_3315	5	1
group_9231	5	1
group_9440	5	1
group_6587	5	1
group_5047	5	1
group_4276*	5	1
group_9446*	5	1
group_6593*	5	1
group_6594**	5	1
group_4272	5	1
group_6596*	5	1
group_9451	5	1
group_4270	5	1
group_5004	5	1
group_6600	5	1
group_6601	5	1
group_6602	5	1
group_3339	5	1
group_3340	5	1
group_9459	5	1
group_9460	5	1
group_3343	5	1
group_5127	5	1
group_9463	5	1
group_5129	5	1
group_3347	5	1
group_3349	5	1
group_9469	5	1
group_9474	5	1
group_3359	5	1
group_9478	5	1
dsbC_2	5	1
group_3362**	5	1
group_13276	5	1
group_4243*	5	1
group_9483	5	1
umuC_1	5	1
group_3367	5	1
group_9486*	5	1
group_9487	5	1
group_9489	5	1
group_13285	5	1
group_6714	5	1
group_6492	5	1
dcm_1	5	1
group_4208	5	1
group_4206	5	1
group_5062*	5	1
group_3167	6	0
group_9927	5	1
group_6737	6	0
group_8411	6	0
group_8467	6	0
group_3513	5	0
group_2236	5	1
group_5461	6	0
group_3318	6	0
group_10447	1	3
group_10625	6	0
group_10846	6	0
group_10697	6	0
group_9843	6	0
group_3662****	4	0
group_6375*	5	1
group_5268	5	0
group_15257	6	0
group_10527	5	0
group_12175	6	0
group_3824*	6	0
group_8519	6	0
group_4261**	5	0
group_12572	6	0
group_9483*	6	0
group_2251	6	0
group_4486	5	1
group_3990*	6	0
group_6797	6	0
group_3993	6	0
group_6817	6	0
group_9716*	6	0
group_4034**	6	0
group_11452	4	0
group_5355	5	0
group_8170	5	0
group_4155*	5	0
group_8177	5	0
group_1550	6	0
group_8191	5	0
group_5272	5	0
group_5263	5	0
group_1661*	6	0
group_8934	6	0
group_10694	5	1
group_12093	5	1
group_1840	6	0
group_8923*	8	2
group_1690*	5	1
group_1699	5	1
group_1579*	5	1
group_5142	5	1
group_1582*	5	1
group_8902*	5	1
group_1585	5	1
group_11514	5	1
group_11521	5	1
group_5497	4	1
group_5467	5	1
group_11318	5	0
group_8158	6	0
group_2804	5	1
group_3475	4	1
group_3653	5	1
group_3656***	5	1
group_3862*	6	0
group_7731*	4	1
group_1511	5	1
group_2479	0	3
group_1762	0	9
group_2662	7	0
group_2761	4	7
group_2759***	7	4
group_6353	10	1
group_4150	5	0
group_5776	8	2
group_6737*	4	0
group_6557	4	0
group_7116	10	4
group_3473	10	1
group_4168	0	14
group_1599	0	14
group_6545	8	4
group_1545*	4	11
group_1844	0	13
group_1527	1	12
pndA_2	0	13
group_2908	0	8
group_7035	5	0
group_2170**	8	4
